id,nama_latin,jumlah ayat,nama arab,kategori,terjemahan
92,Al-Lail,21,الّيل,Makkiyah,Malam
93,Aḍ-Ḍuḥā,11,الضّحى,Makkiyah,Duha
94,Asy-Syarḥ,8,الشّرح,Makkiyah,Pelapangan
95,At-Tīn,8,التّين,Makkiyah,Buah Tin
96,Al-‘Alaq,19,العلق,Makkiyah,Segumpal Darah
97,Al-Qadr,5,القدر,Makkiyah,Al-Qadar
98,Al-Bayyinah,8,البيّنة,Madaniyah,Bukti Nyata
99,Az-Zalzalah,8,الزّلزلة,Madaniyah,Guncangan
100,Al-‘Ādiyāt,11,العٰديٰت,Makkiyah,Kuda Perang Yang Berlari Kencang
101,Al-Qāri‘ah,11,القارعة,Makkiyah,Hari Kiamat Yang Menggetarkan
102,At-Takāṡur,8,التّكاثر,Makkiyah,Berbangga-Bangga Dalam Memperbanyak Dunia
103,Al-‘Aṣr,3,العصر,Makkiyah,Masa
104,Al-Humazah,9,الهمزة,Makkiyah,Pengumpat
105,Al-Fīl,5,الفيل,Makkiyah,Gajah
106,Quraisy,4,قريش,Makkiyah,Orang Quraisy
107,Al-Mā‘ūn,7,الماعون,Makkiyah,Bantuan
108,Al-Kauṡar,3,الكوثر,Makkiyah,Nikmat Yang Banyak
109,Al-Kāfirūn,6,الكٰفرون,Makkiyah,Orang-Orang kafir
110,An-Naṣr,3,النّصر,Madaniyah,Pertolongan
111,Al-Lahab,5,اللّهب,Makkiyah,Gejolak Api
112,Al-Ikhlāṣ,4,الاخلاص,Makkiyah,Ikhlas
113,Al-Falaq,5,الفلق,Madaniyah,Fajar
114,An-Nās,6,النّاس,Madaniyah,Manusia
